Tick 42, has-tree?: 0, landslide at (13, -11), slope -16.46
Tick 42, has-tree?: 0, landslide at (-14, 5), slope -13.07
Tick 42, has-tree?: 0, landslide at (16, -4), slope -9.5
Tick 42, has-tree?: 0, landslide at (4, -9), slope -7.26
Tick 42, has-tree?: 0, landslide at (3, 1), slope -7.63
Tick 42, has-tree?: 0, landslide at (-2, -13), slope -13.85
Tick 42, has-tree?: 0, landslide at (-12, 1), slope -11.68
Tick 42, has-tree?: 0, landslide at (-10, 0), slope -5.4
Tick 42, has-tree?: 0, landslide at (11, -6), slope -19.91
Tick 42, has-tree?: 0, landslide at (1, 1), slope -13.25
Tick 42, has-tree?: 0, landslide at (-2, -1), slope -16.75
Tick 42, has-tree?: 0, landslide at (-11, -8), slope -5.22
Tick 42, has-tree?: 0, landslide at (-11, 9), slope -12.04
Tick 42, has-tree?: 0, landslide at (-3, 10), slope -12.3
Tick 42, has-tree?: 0, landslide at (-2, -4), slope -11.51
Tick 42, has-tree?: 0, landslide at (-3, 5), slope -9.05
Tick 42, has-tree?: 0, landslide at (-6, 0), slope -15.35
Tick 42, has-tree?: 0, landslide at (-11, -12), slope -16.07
Tick 42, has-tree?: 0, landslide at (-16, -3), slope -12.71
Tick 42, has-tree?: 0, landslide at (8, -4), slope -12.68
Tick 42, has-tree?: 0, landslide at (-8, 2), slope -12.92
Tick 42, has-tree?: 0, landslide at (-16, 3), slope -13.44
Tick 42, has-tree?: 0, landslide at (-13, 2), slope -11.77
Tick 42, has-tree?: 0, landslide at (-13, 0), slope -17.85
Tick 42, has-tree?: 0, landslide at (8, -8), slope -5.8
Tick 42, has-tree?: 0, landslide at (-1, 8), slope -14.41
Tick 42, has-tree?: 0, landslide at (0, 5), slope -18.57
Tick 42, has-tree?: 0, landslide at (-15, 14), slope -5.16
Tick 42, has-tree?: 0, landslide at (6, 11), slope -5.85
Tick 42, has-tree?: 0, landslide at (-11, -5), slope -8.57
Tick 42, has-tree?: 0, landslide at (-11, 0), slope -10.83
Tick 42, has-tree?: 0, landslide at (13, 7), slope -5.66
Tick 42, has-tree?: 0, landslide at (-3, 1), slope -4.15
Tick 42, has-tree?: 0, landslide at (-14, 11), slope -6.79
Tick 42, has-tree?: 0, landslide at (6, 5), slope -13.68
Tick 42, has-tree?: 0, landslide at (-11, -15), slope -12.1
Tick 42, has-tree?: 0, landslide at (4, 2), slope -3.84
Tick 42, has-tree?: 0, landslide at (10, 1), slope -7.31
Tick 42, has-tree?: 0, landslide at (-9, 7), slope -9.64
Tick 42, has-tree?: 0, landslide at (-15, 11), slope -12.13
Tick 42, has-tree?: 0, landslide at (5, -12), slope -5.22
Tick 42, has-tree?: 0, landslide at (13, -15), slope -5.87
Tick 42, has-tree?: 0, landslide at (-4, 2), slope -15.9
Tick 42, has-tree?: 0, landslide at (9, 8), slope -12.05
Tick 42, has-tree?: 0, landslide at (-1, 2), slope -17.06
Tick 42, has-tree?: 0, landslide at (3, -16), slope -15.64
Tick 42, has-tree?: 0, landslide at (-1, -1), slope -14.79
Tick 42, has-tree?: 0, landslide at (10, -6), slope -8.22
Tick 42, has-tree?: 0, landslide at (1, -2), slope -20.39
Tick 42, has-tree?: 0, landslide at (-4, 8), slope -6.95
Tick 42, has-tree?: 0, landslide at (0, -7), slope -15.74
Tick 42, has-tree?: 0, landslide at (8, 4), slope -11.24
Tick 42, has-tree?: 0, landslide at (-3, 3), slope -8.79
Tick 42, has-tree?: 0, landslide at (-2, -10), slope -6.81
Tick 42, has-tree?: 0, landslide at (5, 12), slope -4.34
Tick 42, has-tree?: 0, landslide at (-9, 12), slope -11.88
Tick 42, has-tree?: 0, landslide at (6, 1), slope -14.25
Tick 42, has-tree?: 0, landslide at (8, -16), slope -11.34
Tick 42, has-tree?: 0, landslide at (5, -1), slope -3.34
Tick 42, has-tree?: 0, landslide at (9, 13), slope -12.82
Tick 42, has-tree?: 0, landslide at (0, -10), slope -13.26
Tick 42, has-tree?: 0, landslide at (-9, -8), slope -7.53
Tick 42, has-tree?: 0, landslide at (-6, -9), slope -7.81
Tick 42, has-tree?: 0, landslide at (7, 6), slope -3.75
Tick 42, has-tree?: 0, landslide at (4, 7), slope -3.49
Tick 42, has-tree?: 0, landslide at (15, -12), slope -8.29
Tick 42, has-tree?: 0, landslide at (4, -6), slope -6.89
Tick 42, has-tree?: 0, landslide at (-3, 13), slope -3.4
Tick 42, has-tree?: 0, landslide at (1, -5), slope -6.99
Tick 42, has-tree?: 0, landslide at (4, 5), slope -11.1
Tick 42, has-tree?: 0, landslide at (-8, 5), slope -8.59
Tick 42, has-tree?: 0, landslide at (-8, 11), slope -8.63
Tick 42, has-tree?: 0, landslide at (-6, 12), slope -15.55
Tick 42, has-tree?: 0, landslide at (-11, 7), slope -18.58
Tick 42, has-tree?: 0, landslide at (-4, 4), slope -11.22
Tick 42, has-tree?: 0, landslide at (-14, 2), slope -5.82
Tick 42, has-tree?: 0, landslide at (11, -16), slope -4.82
Tick 42, has-tree?: 0, landslide at (-15, -1), slope -17.88
Tick 42, has-tree?: 0, landslide at (1, 14), slope -8.73
Tick 42, has-tree?: 0, landslide at (-8, -7), slope -3.45
Tick 42, has-tree?: 0, landslide at (0, -12), slope -12.37
Tick 42, has-tree?: 0, landslide at (15, -6), slope -5.83
Tick 42, has-tree?: 0, landslide at (-14, 13), slope -5.49
Tick 42, has-tree?: 0, landslide at (9, -5), slope -4.03
Tick 42, has-tree?: 0, landslide at (14, 12), slope -6.85
Tick 42, has-tree?: 0, landslide at (3, -9), slope -3.11
Tick 42, has-tree?: 0, landslide at (-4, 6), slope -6.42
Tick 42, has-tree?: 0, landslide at (2, 1), slope -6.32
Tick 42, has-tree?: 0, landslide at (-3, -12), slope -19.18
Tick 42, has-tree?: 0, landslide at (2, -8), slope -3.09
Tick 42, has-tree?: 0, landslide at (14, -12), slope -5.95
Tick 42, has-tree?: 0, landslide at (-14, -6), slope -4.2
Tick 42, has-tree?: 0, landslide at (-15, 2), slope -6.85
Tick 42, has-tree?: 0, landslide at (6, -11), slope -9.47
Tick 42, has-tree?: 0, landslide at (-11, 15), slope -7.99
Tick 42, has-tree?: 0, landslide at (13, -6), slope -12.52
Tick 42, has-tree?: 0, landslide at (11, 9), slope -13.4
Tick 42, has-tree?: 0, landslide at (-16, -1), slope -4.39
Tick 42, has-tree?: 0, landslide at (3, 3), slope -15.41
Tick 42, has-tree?: 0, landslide at (10, 4), slope -10.07
Tick 42, has-tree?: 0, landslide at (15, -8), slope -4.77
Tick 42, has-tree?: 0, landslide at (-2, 11), slope -8.01
Tick 42, has-tree?: 0, landslide at (2, -16), slope -7.62
Tick 42, has-tree?: 0, landslide at (-7, 2), slope -14.45
Tick 42, has-tree?: 0, landslide at (3, -13), slope -9.37
Tick 42, has-tree?: 0, landslide at (-8, -15), slope -4.09
Tick 42, has-tree?: 0, landslide at (4, 10), slope -7.31
Tick 42, has-tree?: 0, landslide at (2, -11), slope -16.78
Tick 42, has-tree?: 0, landslide at (11, -10), slope -7.01
Tick 42, has-tree?: 0, landslide at (15, 8), slope -17.69
Tick 42, has-tree?: 0, landslide at (-1, -15), slope -5.08
Tick 42, has-tree?: 0, landslide at (16, 7), slope -3.25
Tick 42, has-tree?: 0, landslide at (13, -3), slope -7.96
Tick 42, has-tree?: 0, landslide at (11, 3), slope -5.97
Tick 42, has-tree?: 0, landslide at (-16, 8), slope -12.45
Tick 42, has-tree?: 0, landslide at (12, 6), slope -11.15
Tick 42, has-tree?: 0, landslide at (-15, 8), slope -5
Tick 42, has-tree?: 0, landslide at (-13, -13), slope -13.88
Tick 42, has-tree?: 0, landslide at (-10, 12), slope -15.53
Tick 42, has-tree?: 0, landslide at (-15, 4), slope -7.42
Tick 42, has-tree?: 0, landslide at (-15, -4), slope -9.73
Tick 42, has-tree?: 0, landslide at (-15, 5), slope -9.3
Tick 42, has-tree?: 0, landslide at (-6, 2), slope -3.23
Tick 42, has-tree?: 0, landslide at (14, 6), slope -4.9
Tick 42, has-tree?: 0, landslide at (-1, -4), slope -14.78
Tick 42, has-tree?: 0, landslide at (-14, 15), slope -15.87
Tick 42, has-tree?: 0, landslide at (-9, -12), slope -16.61
Tick 42, has-tree?: 0, landslide at (-11, 11), slope -6.7
Tick 42, has-tree?: 0, landslide at (-15, -15), slope -2.95
Tick 42, has-tree?: 0, landslide at (8, 10), slope -15.84
Tick 42, has-tree?: 0, landslide at (16, -8), slope -3.03
Tick 42, has-tree?: 0, landslide at (-5, -6), slope -10.07
Tick 42, has-tree?: 0, landslide at (10, -10), slope -14.06
Tick 42, has-tree?: 0, landslide at (14, -10), slope -7.49
Tick 42, has-tree?: 0, landslide at (-10, 15), slope -7.62
Tick 42, has-tree?: 0, landslide at (6, -13), slope -3.3
Tick 42, has-tree?: 0, landslide at (-15, -13), slope -13.65
Tick 42, has-tree?: 0, landslide at (-7, 10), slope -13.09
Tick 42, has-tree?: 0, landslide at (-5, 11), slope -16.72
Tick 42, has-tree?: 0, landslide at (-14, -4), slope -8.4
Tick 42, has-tree?: 0, landslide at (6, 13), slope -6.52
Tick 42, has-tree?: 0, landslide at (10, -16), slope -8.6
Tick 42, has-tree?: 0, landslide at (-6, -16), slope -8.87
Tick 42, has-tree?: 0, landslide at (7, -5), slope -11.99
Tick 42, has-tree?: 0, landslide at (16, 11), slope -8.23
Tick 42, has-tree?: 0, landslide at (13, 11), slope -5.58
Tick 42, has-tree?: 0, landslide at (-3, -9), slope -10.5
Tick 42, has-tree?: 0, landslide at (-6, 15), slope -4.35
Tick 42, has-tree?: 0, landslide at (2, 12), slope -7.76
Tick 42, has-tree?: 0, landslide at (14, 1), slope -6.35
Tick 42, has-tree?: 0, landslide at (-8, -5), slope -14.75
Tick 42, has-tree?: 0, landslide at (0, 0), slope -13.44
Tick 42, has-tree?: 0, landslide at (11, -12), slope -5.74
Tick 42, has-tree?: 0, landslide at (0, -15), slope -9.28
Tick 42, has-tree?: 0, landslide at (-13, 12), slope -11.32
Tick 42, has-tree?: 0, landslide at (5, 3), slope -11.02
Tick 42, has-tree?: 0, landslide at (13, 1), slope -6.59
Tick 42, has-tree?: 0, landslide at (-4, 10), slope -3.93
Tick 42, has-tree?: 0, landslide at (6, 9), slope -13.52
Tick 42, has-tree?: 0, landslide at (-10, -2), slope -5.46
Tick 42, has-tree?: 0, landslide at (3, -4), slope -7.38
Tick 42, has-tree?: 0, landslide at (-10, -16), slope -5.1
Tick 42, has-tree?: 0, landslide at (-16, 12), slope -9.56
Tick 42, has-tree?: 0, landslide at (-10, -13), slope -3.64
Tick 42, has-tree?: 0, landslide at (-2, 13), slope -11.96
